#DEBUG: Format Typ    -> tdf
#DEBUG: Time Period   -> 2016-01-01 00:00:00+00:00 2019-02-05 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station	valid	 metar 
ELP	2016-01-01 00:51	KELP 010051Z 36008KT 10SM FEW060 SCT140 BKN250 06/00 A3013 RMK AO2 SLP189 T00610000
ELP	2016-01-01 01:51	KELP 010151Z 36008KT 10SM SCT120 BKN250 06/M01 A3015 RMK AO2 SLP197 T00561006
ELP	2016-01-01 02:51	KELP 010251Z 36010KT 10SM SCT120 BKN250 06/M01 A3017 RMK AO2 SLP206 T00561011 52018
ELP	2016-01-01 03:51	KELP 010351Z 02006KT 10SM SCT120 SCT250 05/M01 A3020 RMK AO2 SLP216 T00501006
ELP	2016-01-01 04:51	KELP 010451Z 05007KT 10SM SCT120 BKN250 05/M01 A3022 RMK AO2 SLP220 T00501011
ELP	2016-01-01 05:51	KELP 010551Z 05011KT 10SM SCT120 BKN250 04/M02 A3022 RMK AO2 SLP222 T00441022 10078 20044 51017
ELP	2016-01-01 06:51	KELP 010651Z 06011KT 10SM SCT120 BKN250 04/M01 A3023 RMK AO2 SLP222 T00391011 401000006
ELP	2016-01-01 07:51	KELP 010751Z 04008KT 10SM FEW120 BKN180 BKN250 04/M01 A3023 RMK AO2 SLP221 T00391006
ELP	2016-01-01 08:51	KELP 010851Z 06011KT 10SM FEW030 SCT090 BKN180 03/M01 A3023 RMK AO2 SLP219 T00331011 50002
ELP	2016-01-01 09:51	KELP 010951Z 06012KT 10SM FEW030 BKN085 OVC180 03/M02 A3026 RMK AO2 SLP229 T00331017
ELP	2016-01-01 10:51	KELP 011051Z 07010KT 10SM OVC034 03/M02 A3027 RMK AO2 SLP235 T00331017
ELP	2016-01-01 11:51	KELP 011151Z 06014KT 10SM OVC033 03/M03 A3028 RMK AO2 SLP239 T00281028 10044 20028 51015
ELP	2016-01-01 12:51	KELP 011251Z 05010KT 10SM OVC030 03/M03 A3030 RMK AO2 SLP250 T00281028
ELP	2016-01-01 13:51	KELP 011351Z 06010KT 10SM OVC033 02/M03 A3034 RMK AO2 SLP264 T00221028
ELP	2016-01-01 14:51	KELP 011451Z 04010KT 10SM FEW015 OVC030 02/M03 A3036 RMK AO2 SLP271 OCNL CLDS TPG MT NW T00221028 51023
ELP	2016-01-01 15:23	KELP 011523Z 05009KT 10SM FEW015 OVC029 02/M03 A3037 RMK AO2 OCNL CLD TPG MT NW T00221028
ELP	2016-01-01 15:51	KELP 011551Z 07008KT 10SM FEW015 OVC029 03/M03 A3038 RMK AO2 SLP278 OCNL CLD TPG MT NW T00281028
ELP	2016-01-01 16:00	KELP 011600Z 07010KT 10SM FEW015 OVC030 03/M03 A3038
ELP	2016-01-01 16:51	KELP 011651Z 08010KT 10SM FEW015 OVC029 03/M03 A3040 RMK AO2 SLP286 CLDS TPG MTNS W-NW T00281028
ELP	2016-01-01 17:51	KELP 011751Z 08009KT 10SM FEW015 OVC027 03/M03 A3040 RMK AO2 SLP286 CLDS TPG MTNS W-NW T00331028 10033 20022 51014
ELP	2016-01-01 18:51	KELP 011851Z 07009KT 10SM FEW015 OVC026 03/M03 A3038 RMK AO2 SLP280 CLDS TPG MTNS W-NW T00331028
ELP	2016-01-01 19:51	KELP 011951Z 07008KT 10SM OVC025 03/M03 A3034 RMK AO2 SLP266 CLDS TPG MTNS W-NW T00331028
ELP	2016-01-01 20:51	KELP 012051Z 10005KT 10SM OVC025 04/M02 A3034 RMK AO2 SLP265 CLDS TPG MTNS W-NW T00391022 56019
ELP	2016-01-01 21:51	KELP 012151Z 09008KT 10SM OVC025 04/M02 A3034 RMK AO2 SLP263 CLDS TPG MTNS W-NW T00391017
ELP	2016-01-01 22:51	KELP 012251Z 11006KT 10SM OVC024 04/M02 A3034 RMK AO2 SLP264 CLDS TPG MTNS W-NW T00391017
ELP	2016-01-01 23:51	KELP 012351Z 07006KT 10SM OVC023 04/M02 A3034 RMK AO2 SLP268 CLDS TPG MTNS W-NW T00391017 10044 20033 53001
ELP	2016-01-02 00:51	KELP 020051Z 08007KT 10SM OVC023 03/M02 A3035 RMK AO2 SLP271 CLDS TPG MTNS W-NW T00331017
ELP	2016-01-02 01:51	KELP 020151Z 08005KT 10SM OVC024 03/M02 A3038 RMK AO2 SLP281 T00331017
ELP	2016-01-02 02:51	KELP 020251Z 09004KT 10SM OVC021 03/M02 A3039 RMK AO2 SLP286 CLDS TPG MTNS W-NW T00331017 53014
ELP	2016-01-02 03:51	KELP 020351Z 10004KT 10SM OVC017 03/M02 A3039 RMK AO2 SLP284 CLDS TPG MTNS W-NW T00281017
